,Segment,R2,RMSE,Size
12,No_Other side reversed into clt's stationary vehicle,0.9995656266711361,7.223497001259844,61
11,No_Rear end - 3 car - Clt at front,0.9952542882467063,63.024756518764704,135
10,No_Other side changed lanes on a roundabout colliding with clt's vehicle,0.9952470125019497,47.66570505643697,78
2,No_Rear end - Clt pushed into next vehicle,0.9741537592615924,130.68044931479005,224
0,No_Rear end,0.9621496286903439,151.30305529239462,2303
8,No_Other side turned across Clt's path,0.9418634041522663,215.5879069621164,245
15,Other,0.8747818488582045,180.07818808754317,254
1,No_Other side pulled out of side road,0.8636803638951256,291.71908490701253,525
7,No_Other,0.8048911041752399,412.8975721612908,300
5,No_Other side reversed into Clt's vehicle,0.7842603475707255,200.12463802798288,94
3,No_Other side pulled on to roundabout,0.7801806151917291,395.17887232764366,67
4,No_Unknown,0.7726659880268285,424.301715263599,95
6,No_Other side changed lanes and collided with clt's vehicle,0.7390588773199065,267.5592428049421,176
13,Yes_Rear end,0.7348129123447908,396.7557453272078,151
14,Unknown,0.666578323968136,362.9349897858426,97
9,No_Other side drove on wrong side of the road,0.635066317336269,349.0717793157562,84
